Product ID,Product Name,Main Category,Actual Price (Rs),Discounted Price (Rs),Discount Amount (Rs),Discount %,Discount Label,Rating,Rating Count,Rating Label,Price Category,Value Score
B07JW9H4J1,"Wayona Nylon Braided USB to Lightning Fast Charging and Data Sync Cable Compatible for iPhone 13, 12,11, X, 8, 7, 6, 5, iPad Air, Pro, Mini (3 FT Pack of 1, Grey)",Computers&Accessories,"1,099.00",399.00,700.00,64.00,High (>50%),4.2,"24,269",Good (4-4.5),Mid-range (500-2000),74.00
B098NS6PVG,"Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Type C Cable for Smartphones, Tablets, Laptops & other Type C devices, PD Technology, 480Mbps Data Sync, Quick Charge 3.0 (RCT15A, Black)",Computers&Accessories,349.00,199.00,150.00,43.00,Medium (20-50%),4.0,"43,994",Good (4-4.5),Budget (<500),61.50
B096MSW6CT,"Sounce Fast Phone Charging Cable & Data Sync USB Cable Compatible for iPhone 13, 12,11, X, 8, 7, 6, 5, iPad Air, Pro, Mini & iOS Devices",Computers&Accessories,"1,899.00",199.00,"1,700.00",90.00,High (>50%),3.9,"7,928",Average (3-4),Mid-range (500-2000),84.00
B08HDJ86NZ,"boAt Deuce USB 300 2 in 1 Type-C & Micro USB Stress Resistant, Tangle-Free, Sturdy Cable with 3A Fast Charging & 480mbps Data Transmission, 10000+ Bends Lifespan and Extended 1.5m Length(Martian Red)",Computers&Accessories,699.00,329.00,370.00,53.00,High (>50%),4.2,"94,363",Good (4-4.5),Mid-range (500-2000),68.50
B08CF3B7N1,"Portronics Konnect L 1.2M Fast Charging 3A 8 Pin USB Cable with Charge & Sync Function for iPhone, iPad (Grey)",Computers&Accessories,399.00,154.00,245.00,61.00,High (>50%),4.2,"16,905",Good (4-4.5),Budget (<500),72.50
B08Y1TFSP6,"pTron Solero TB301 3A Type-C Data and Fast Charging Cable, Made in India, 480Mbps Data Sync, Strong and Durable 1.5-Meter Nylon Braided USB Cable for Type-C Devices for Charging Adapter (Black)",Computers&Accessories,"1,000.00",149.00,851.00,85.00,High (>50%),3.9,"24,871",Average (3-4),Mid-range (500-2000),81.50
B08WRWPM22,"boAt Micro USB 55 Tangle-free, Sturdy Micro USB Cable with 3A Fast Charging & 480mbps Data Transmission (Black)",Computers&Accessories,499.00,176.63,322.37,65.00,High (>50%),4.1,"15,188",Good (4-4.5),Budget (<500),73.50
B08DDRGWTJ,MI Usb Type-C Cable Smartphone (Black),Computers&Accessories,299.00,229.00,70.00,23.00,Medium (20-50%),4.3,"30,411",Good (4-4.5),Budget (<500),54.50
B008IFXQFU,"TP-Link USB WiFi Adapter for PC(TL-WN725N), N150 Wireless Network Adapter for Desktop - Nano Size WiFi Dongle Compatible with Windows 11/10/7/8/8.1/XP/ Mac OS 10.9-10.15 Linux Kernel 2.6.18-4.4.3",Computers&Accessories,999.00,499.00,500.00,50.00,Medium (20-50%),4.2,"4,664",Good (4-4.5),Mid-range (500-2000),67.00
B082LZGK39,"Ambrane Unbreakable 60W / 3A Fast Charging 1.5m Braided Micro USB Cable for Smartphones, Tablets, Laptops & Other Micro USB Devices, 480Mbps Data Sync, Quick Charge 3.0 (RCM15, Black)",Computers&Accessories,299.00,199.00,100.00,33.00,Medium (20-50%),4.0,"43,994",Good (4-4.5),Budget (<500),56.50
